index,classification,name,club_page,external_url
0027,學藝性,攝影研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/0027  ,http://www.ntuphoto.tw
0029,自治性,化學工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0029  ,https://www.facebook.com/NTUCHESA/
0031,自治性,農藝學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0031  ,https://reurl.cc/V6mNEN
0032,自治性,森林環境暨資源學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0032  ,https://www.facebook.com/NTUFSA/
0034,服務性,彰化地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0034  ,https://www.facebook.com/NTUCHfamily/
0036,聯誼性,雲林嘉義地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0036  ,https://www.facebook.com/ntucloudhome/
0037,學藝性,京劇研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/0037  ,
0039,康樂性,台大合唱團,https://osa_activity.ntu.edu.tw/club/detail/sn/0039  ,https://www.facebook.com/NTUChorus/
0042,自治性,農業經濟學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0042  ,
0046,聯誼性,高雄地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0046  ,https://www.facebook.com/NTUKGA/
0048,聯誼性,屏東地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0048  ,http://club.ntu.edu.tw/~club20048/
0055,自治性,政治學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0055  ,https://www.instagram.com/ntu_pssa/
0058,自治性,化學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0058  ,https://www.instagram.com/ntuchem_sa/
0077,自治性,經濟學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0077  ,https://www.facebook.com/NTUECONSA/
0082,自治性,歷史學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0082  ,https://www.facebook.com/ntuhistorypeople/
0083,學藝性,國樂團,https://osa_activity.ntu.edu.tw/club/detail/sn/0083  ,https://www.facebook.com/NTUCO/
0084,學藝性,橋藝社,https://osa_activity.ntu.edu.tw/club/detail/sn/0084  ,https://www.facebook.com/bridgetaiwanuniversity/
0085,自治性,人類學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0085  ,https://www.facebook.com/ntuanthro
0087,聯誼性,華僑同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/0087  ,https://www.instagram.com/ocsafam/
0088,綜合性,新生學習入門書院,https://osa_activity.ntu.edu.tw/club/detail/sn/0088  ,https://osa_activity.ntu.edu.tw/freshmen/orientationcamp/OC15
0089,自治性,醫學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0089  ,https://www.facebook.com/ntumedsa
0090,自治性,大氣科學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0090  ,https://reurl.cc/GVG4bd
0092,自治性,電機工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0092  ,https://www.facebook.com/ntuee.org/
0093,自治性,資訊工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0093  ,http://council.csie.ntu.edu.tw/
0108,綜合性,國術社,https://osa_activity.ntu.edu.tw/club/detail/sn/0108  ,https://www.facebook.com/ntuksclub
0113,自治性,心理學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0113  ,https://www.facebook.com/ntupsysa
0115,自治性,哲學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0115  ,https://www.facebook.com/ntuphilo/
